country,room_type,traveler_type,nr_nights,year,month,score,full_review,emotion,emotion_score,year_month
Spain,Double Room,Family,2,2023,8,9.0,"Superb It is well located, which has a winged restaurant, you can go in transportation for some places it is fine with the price and quality well. The attention well with the attentive staff in everything No issues mentioned.",neutral,0.47395503520965576,2023-08
Unknown,Double Room,Family,1,2023,8,1.0,"Disastrozoo The care of workers I didn't like many things
1The ""Alleged room was not from the photo""
2 Cleaning 
3 The bed was for a person (in the reserve was a double bed) my husband had to sleep on the ground since we were 3 with my baby 
4The Colchom God of spring, we nailed to us all over our backs 
5 had no laundry.
5The very uncomfortable bathroom 
6 scarce towels (eye)
7 says there is parking (there is no parking)
8 Bath light did not work 
And endless things 
Eye does not look good! If you want head and back pain, don't go",sadness,0.39932981133461,2023-08
Spain,Twin Room,Couple,2,2023,8,2.0,"Factory type hotel to not come back. Poor but reasonable breakfast. The room with renegras walls. Little cleaning on the floor. Horror bath with oxidized tubes by the walls. The glass shelf was missing under the mirror in the room A huge tube in a corner produced a constant noise throughout the night as an running extractor. We don't stick an eye. The next day I complained and asked for a solution. They shrugged. I threatened to call the police and finally changed my room, just as bad but without tube or noise.
On the street they spend night and day buses and cars producing a huge noise. Indecental place that does not deserve even the pension title.",fear,0.4117569327354431,2023-08
France,Double Room,Group,7,2023,8,8.0,"Very good Very welcome, affordable price. Air -conditioned room. Team attentive to our needs. We thank Jasmine for her kindness. Old -fashioned side. A small refreshment in the bathroom is necessary.",joy,0.8483780026435852,2023-08
Spain,Double Room,Family,1,2023,8,1.0,"Bad Breakfast, abundant and all ordered Very old and very badly preserved all old and oxidized place, they should also indicate that it is not suitable for people with reduced mobility, very extruding and uncomfortable stairs.",disgust,0.8372600674629211,2023-08
Spain,Twin Room,Group,2,2023,8,10.0,"Genial ATTENTION
The location 
The buffet breakfast The pillow could be bigger",neutral,0.879254162311554,2023-08
Italy,Single Room,Solo traveller,1,2023,8,4.0,"Disappointing Location. Hotel urgently needs great remodeling. 
Bathroom with exposed pipes, peeling walls, and the bedroom doors are old.",disgust,0.6420131325721741,2023-08
Spain,Single Room,Solo traveller,4,2023,8,3.0,"Mal A good breakfast [buffet] is served. The last day as we did the Check out early, before the usual breakfast time, the receptionist offered us to take cookies ... but we did not feel like breakfast after the bad experience we had in the room ... The hotel is not in conditions, you can't put a customer in a room like what we were. Every old man and you can even meet bugs .. In addition, the room is not cleaned if you do not leave the key before 11.00h.",disgust,0.7929407358169556,2023-08
Spain,Twin Room,Family,3,2023,8,1.0,"Bad I didn't like anything Without elevator, all very old, the air conditioning could not be extinguished or regular, the blind of the room stuck at medium height, the bathroom without comments, in short, if possible it would never return to that hotel that says that they are 2 stars and does not deserve any star, it would not have to be called a hotel.",disgust,0.6889591217041016,2023-08
Spain,Double Room,Couple,2,2023,8,1.0,"Pésimo Hotel Breakfast Dirty, broken mirrors in the room, old towels and spots, wall with churretones and holes, humidity on the roof, rusty bath, air conditioning lost water and a puddle. Being Sunday they did not fix it",disgust,0.5864566564559937,2023-08
Spain,Single Room,Solo traveller,3,2023,8,9.0,Superb Wide room with clean towels and a balcony and very well air conditioning and simple but enough breakfast I liked everything,joy,0.9463664293289185,2023-08
Unknown,Twin Room,Couple,1,2023,8,8.0,Clean environment and good location. The space was well sanitized and in great location. Disclosure images of the accommodation are not up to date.,neutral,0.5520492792129517,2023-08
Netherlands,Single Room,Solo traveller,1,2023,8,4.0,"Very, very moderate hotel. Nothing actually. Maybe happen to park for free along the road. Super noisy, noisy other guests with which nothing was done, noise of extractor system",disgust,0.3992190957069397,2023-08
Brazil,Twin Room,Couple,3,2023,7,8.0,Satisfied. Breakfast well served with good location near the city's subway system station. Side parking and not at the hotel itself.,joy,0.7412388920783997,2023-07
Spain,Twin Room,Couple,1,2023,7,4.0,Disappointing Nothing All,sadness,0.8696044683456421,2023-07
Spain,Twin Room,Family,3,2023,7,4.0,"Disappointing I liked to be fulfilled that there was room to park the car on the street freely, as the ad said. Especially the elevator. It was a great surprise that the hotel had no lift. We were on a second floor
The first night we were left without electricity I imagine for overload. Then the truth is that we were to compensate for the noncvdnients and invited each other at a day breakfasts.",surprise,0.9542755484580994,2023-07
Angola,Double Room,Family,1,2023,7,3.0,"My stay at this hotel was terrible, I do not recommend to anyone. Thanks Breakfast was reasonable and hotel is well located I didn't like the room: dirty bath sheets and towels, bed with many bed bugs (it was a disgust). The receptionist who made us chek in was not very friendly.",disgust,0.9854991436004639,2023-07
Portugal,Double Room,Family,1,2023,6,1.0,Bad No highlights mentioned. Room in poor condition and with noise due to a malfunction in the air conditioner all night!,disgust,0.7006330490112305,2023-06
Spain,Double Room,Couple,3,2023,7,3.0,"Poor The attention of the staff and that at breakfast towards the biscuits at the time. The rooms require a reform, especially the bathroom. Throughout the stay and especially at night, a continuous sound similar to the centrifugation of an endless washing machine was heard.",disgust,0.9145956039428711,2023-07
Spain,Twin Room,Family,1,2023,7,4.0,Disappointing The staff. There was a lot of noise in the room like industrial or extractor air conditioning passed a tube through the room,disgust,0.6564621329307556,2023-07
Spain,Double Room,Family,1,2023,7,4.0,Disappointing Location Little personnel,sadness,0.9218971729278564,2023-07
Poland,Twin Room,Couple,1,2023,7,3.0,"Hotel for general renovation - it's better to pay extra and stop in a different place Tasty breakfast and location near the metro station. I stopped at this hotel for the second time, one night before the holiday flight. I was hoping that maybe a different room would be closer, but unfortunately this did not happen. The whole hotel is suitable for general renovation, because most of the equipment is depleted to the limit. Bathroom equipment was better not to touch. The rooms are tight and loud.",sadness,0.7150999307632446,2023-07
Poland,Twin Room,Couple,4,2023,7,3.0,"Hotel for general renovation - it is not worth the money Tasty breakfasts and location near the subway station. Unfortunately, the hotel is for general renovation. In the room, all equipment would be suitable for replacement. For example, the shower curtain was so dirty that I didn't even want to touch it. The room was also very loud from the street.",disgust,0.9512199759483337,2023-07
Brazil,Double Room,Family,10,2023,7,8.0,Very good Employees are very attentive and the location is excellent. Good cost benefit. Very simple breakfast. In the room there is no fridge.,neutral,0.6132012009620667,2023-07
Portugal,Double Room,Couple,1,2023,7,3.0,"Location and nothing more! Location, very close to the meter and with a wide variety of restoration services. Very poor hotel, virtually everything is damaged and obsolete. Air conditioning did not work, they left a fan in the room, huge and super noisy. TV guaranteedly about 30 years old. 
Cleaning of the reasonable room, but extremely careless areas during the stay the light was missing several times.",disgust,0.5105335116386414,2023-07
Portugal,Single Room,Solo traveller,2,2023,7,1.0,"Bad Nothing! All terrible, I spent from 16 to 21h at the hotel without light, too dirty place. I asked for return of the amount and had to pay more in another hotel to spend one night only, I only took losses.",disgust,0.6425938010215759,2023-07
Portugal,Single Room,Family,1,2023,7,3.0,"Poor Location and breakfast that was acceptable It is totally degraded, without any maintenance.
Horrible walls and ceilings, doors of horrible rooms, lack of towels, finally, terrible",fear,0.45441657304763794,2023-07
Germany,Twin Room,Solo traveller,3,2023,7,2.0,"Very poor That the breakfast was included The room was out of date.
The mattresses were very old and uncomfortable.
The lady at the reception does not speak English.
It is very loud in the rooms, you hear every guest and every car.",disgust,0.8881610035896301,2023-07
Romania,Single Room,Group,5,2023,7,4.0,Working visit It was close to the place where the conference was held and close to the means of transport. Poor breakfast. Without variety. Not even the slightest attempt to clean the room. From the first to the last day the Gonoi basket was full. They kicked us out at 11 o'clock.,disgust,0.4063953459262848,2023-07
France,Double Room,Couple,3,2023,6,10.0,"Amazing ! Reception, breakfast, staff. No issues mentioned.",joy,0.5498238205909729,2023-06
Spain,Double Room,Couple,1,2023,6,1.0,"Horrible because of my allergy we suspend the holidays. Well, this can not be called a hotel, it is rather Hotelucho de Carretera, because they were not soundproof, how every 5 minutes passed bus, a lot Tremendous noise, the roof with quite stained with moisture, so as not to tell the bed the bedding quite clean and very white that must be reciprocated but the legs of the bed appeared and it sounded like it wanted to break and I realized that they folded, that bad experience, I only slept an hour because the smell of humid We endured what dawned a little, Lek was that we left and we could not enjoy Porto because neither nose did not stop bleeding from the allergy what caused me the smell of mold. That is why you can't call a hotel if you had half a star or I saw it. Bad experience to anyone recommends it if he suffers from allergy. Please stop Veder smoke, put a super photo that does not resemble reality, they have to change the door, TV, closet of the stone age, the bathtub, the horrible pipes hide it, regulate the hot water because I almost left the skin of super hot, ventilate the rooms, change the floor and put it what is tiles of the 70s, it seems to me that it was a house and they settled to play to play. That of Guay nothing. We arrived in Porto Thursday at 19 to last 3 days but of course not in that accommodation, but because of my allergy we could not stay we left little for 6 in the morning.",fear,0.7054578065872192,2023-06
Italy,Single Room,Solo traveller,1,2023,6,3.0,"Poor The position and friendliness of the staff It is dirty small rooms, it has no lift",disgust,0.8333108425140381,2023-06
Spain,Twin Room,Family,3,2023,6,4.0,"Ancient and little attended Already described .. old, very unattractive .. and one day they don't make you the room .. they don't put gel or shampoo daily The above described",sadness,0.4242820739746094,2023-06
Unknown,Single Room,Solo traveller,2,2023,6,8.0,Buena Good breakfast and also its location It has no elevator,neutral,0.43890199065208435,2023-06
Portugal,Single Room,Group,1,2023,6,4.0,Disappointing Reasonable breakfast Fourth and toilet amenities.,sadness,0.5803170204162598,2023-06
Portugal,Twin Room,Family,2,2023,6,8.0,Very good WONDERFUL SERVICE 😀 Very good breakfast..SO CLEANING THAT COULD BE BETTER .. BATHINGS LEAVE TO WISH ... I went to see the bed and but proved that they did not change the sheets ... Cleaning could be better ... bedding was not changed .... but the earlier guests slept and only stretched the sheet ...,disgust,0.18247617781162262,2023-06
Portugal,Single Room,Solo traveller,1,2023,6,1.0,I will not come back. Nothing Noise,sadness,0.3653287887573242,2023-06
Ukraine,Single Room,Solo traveller,6,2023,6,8.0,"In general, I liked everything. A good ratio of price and quality! Good budget hotel. Everything is very clean. Especially linen. The breakfast is continental, quite diverse. Close location from the metro. Poor sound insulation is heard the sound of the voices in the corridor and the next room.",joy,0.8940489888191223,2023-06
Argentina,Double Room,Family,3,2023,6,9.0,Superb Practical and good value for money All good. 2nd floor stairs,joy,0.703197717666626,2023-06
Germany,Double Room,Couple,1,2023,6,1.0,Bad ! Only the entrance! The rooms do not correspond to the rooms from the VEB side. Very loud noises il bad dîne almost sleepless night. The entire furniture including the entrance door is in need for cleverly picking !!! The walls could tolerate a new coat of arms! In the bathroom exactly the same!,fear,0.578179121017456,2023-06
Portugal,Double Room,Family,1,2023,6,2.0,"Very poor Service No glass window had only night beaded the cold through the bruises of the stock out of the place. When I arrived I saw and I didn't like I tried to cancel but I couldn't, if I didn't lose the money from the stay I ended up. But I think Bokink should have more rigor to quality when we booked a room.",sadness,0.5791940689086914,2023-06
Portugal,Double Room,Group,2,2023,6,3.0,For the price it could be better No highlights mentioned. The air conditioner did not work. The bedroom door looked badly. It was listened to noise in the corridors easily. Even what was going on on the first floor was heard in the second…,disgust,0.6187614798545837,2023-06
Portugal,Single Room,Solo traveller,2,2023,6,1.0,"Bad I liked the location close to the São João Hospital Nearly in front of the amoei hospital I did not like the hotel in yes no booking had three stars in the hotel fixation has two stars, but the appearance of the smelling hotel right at the entrance to the bed with dirty monfo -smelling sheets, breakfast relay I was sorry to choose that hotel. 
Please review the images they put in Booking, the next trip I will not use your services.",disgust,0.7749053835868835,2023-06
Spain,Double Room,Group,3,2023,6,3.0,"I would not come back or for free, shabby not the following Breakfast, few things; But all correct. Good coffee, good bread, good fruit. The pleasant receptionist, the unpresentable owner. We took supplementary bed at € 25/night and they brought it at 23:30 and it was broken, complicated to sleep, the next day they brought another one that was broken, then we had to throw the mattresses to the ground the three nights. They wanted to discount me only € 7 in total, that of course I refused and in the end the mattress on the floor came to € 12.5/night. The bathroom of the 60s and air pipes did not close the door and creaked. The air conditioning of the rooms made a horrible noise and that of the neighbor the worst had him on the three days, yes, I really enjoy the groans that were heard. CONCLUSION The worst room we have slept in a long time ... very shabby everything.",anger,0.3449665307998657,2023-06
France,Twin Room,Couple,4,2023,6,2.0,"Nul Nothing - Room not clean at all 
- No soundproofing (noise of the VMC all night so we did not sleep)
- no refund because we came 3 days instead of 4 because of a change of plane schedule) 
- No change of room when we haven't slept 3 nights 
- No hello 

Catastrophic.",sadness,0.6839711666107178,2023-06
Brazil,Double Room,Couple,4,2023,6,10.0,Exceptional The sympathy and cordiality of employees !! The bed and pillows very uncomfortable.,disgust,0.3105801045894623,2023-06
Brazil,Double Room,Family,6,2023,5,10.0,"Excellent. Near the metro, malls, supermarkets, fastfoods, gas station, etc… is in an excellent area in Porto. The service is great, super welcoming. Breakfast is wonderful! No issues mentioned.",joy,0.8845571875572205,2023-05
Brazil,Single Room,Solo traveller,3,2023,6,1.0,"bad Educated employee and quick internet Broken shower, old intakes without maintenance",sadness,0.7925055623054504,2023-06
Brazil,Twin Room,Couple,4,2023,5,3.0,"Poor From the photos, the bedroom and bathroom seem to be younger! It would be interesting a good renovation! Comfortable bed! No issues mentioned.",joy,0.5149552822113037,2023-05
Brazil,Single Room,Solo traveller,1,2023,5,8.0,"Very good I liked the place nothing to say! Good hosting! No lighting next to the bed
No sockets to load the phone.",joy,0.8925790786743164,2023-05
Portugal,Double Room,Family,1,2023,5,2.0,"The cheap is expensive, it was terrible! Nothing There was only one bath towel for two people, there was no face towel and carpet in the bathroom. There was no dryer, there was no rubber stopper for the bathtub, the blunders was damaged, there was no control for television and air conditioning, breakfast is not of great quality, the bathroom tile was broken, rooms very close to each other (without acoustic insulation).",disgust,0.8466668128967285,2023-05
Italy,Double Room,Couple,5,2023,5,3.0,"Poor Very nice staff is helpful, breakfast included breakfast included in the price The room very dirty and with very dated and ruined furnishings, very dated mattress is of very little quality (we slept very badly), the window door that gives the terrace it has a broken lock, therefore always open, also the terrace very dirty and which gives on a roof of eternity to say the least indecent, full of cigarette butts of cigarettes and varied dirt and with a fireplace that emitted an annoying buzz of an electric motor of an electric motor of an electric motor H24, the small bathroom, with mold on the ceiling and hairdryer essence (at the reception they told us that it is not there). In short, maintenance equal to zero.",disgust,0.8069509863853455,2023-05
Portugal,Double Room,Couple,2,2023,5,4.0,"In addition to remodeling, employees need more training for proper care. Cleaning and location. After complaint about room conditions, the employee was helpful trying to minimize discontent by replacing another room. Hotel needs remodeling, room doors with low safety and aged, room without TV and air conditioning commands, broken phone. Moisture in the toilet, Estores did not close completely. Breakfast with little variety and absence of employees to replace the food and there was no coffee expressed.",disgust,0.8412052392959595,2023-05
Belgium,Double Room,Solo traveller,5,2023,5,3.0,"catastrophic place that does not deserve a single star Not far from buses and trams The cleanliness, bathroom full of humidity, degraded toilet, broken mirror glass, smoked detector glued to sticky paper, no insulation, the balcony window is not closed",disgust,0.46071362495422363,2023-05
Portugal,Single Room,Solo traveller,1,2023,5,1.0,"Degrading Location Cleaning, noise of an engine all over, dirty bedding, animals on bedding, tv without command",disgust,0.9730992317199707,2023-05
Portugal,Twin Room,Couple,4,2023,5,4.0,"Disappointing The staff is well willing ... Cleaning, shower did not do the ""shower"" function was like taking a hose bath, lack of freshness in breakfast, a lot of damaged .... No command of TV and AC ... etc ... At night the reception is very bad Mr. that there is a long time to open the door because it is sleeping ...",sadness,0.559400200843811,2023-05
Ireland,Double Room,Couple,1,2023,5,2.0,"Very poor No highlights mentioned. Bad bathroom, take a shower and the floor turns pool, without taking off that the water did not go down the drain, and has no parking, the car is on the street",sadness,0.7090193033218384,2023-05
Brazil,Single Room,Couple,2,2023,5,4.0,"Disappointing Location There was only one outlet working in the bedroom and was in the bathroom 
There was no spare pillow to put in the room. They lent 2 pillows.
I had not realized that I had no elevator at the hotel when I made the reservation.",surprise,0.6003836393356323,2023-05
Brazil,Double Room,Group,3,2023,4,9.0,Very good Great half lunch and great location. The facilities were very old but comfortable,joy,0.9164475202560425,2023-04
Spain,Double Room,Couple,2,2023,5,1.0,"I would never come back I just liked breakfast that I consider it eighty The rooms are bad. The one they assigned to me had moisture on the walls, the bathrooms of the bathroom totally in sight, mold the bathtub, constant noise of an extractor, a balcony to a step of a dirty roof, the plugs did not work and a smell of ventilation cup. Request change and granted it to me. The second room only improves in moisture, pipes and views that were for the street",disgust,0.950876772403717,2023-05
Spain,Single Room,Solo traveller,1,2023,5,4.0,Much work to do at the hotel No highlights mentioned. Status and smell of the room,disgust,0.9180415272712708,2023-05
Brazil,Single Room,Solo traveller,5,2023,5,10.0,"Perfect All perfect, the employees are great already indicating to all friends. No issues mentioned.",neutral,0.8205320835113525,2023-05
Spain,Double Room,Couple,1,2023,5,3.0,"uncomfortable room They were friendly I had to ask for twice to give me towels. Moisture in the bathroom and mattress in poor condition. He did not sleep in bed and heat. In addition, the air conditioning did not work.",disgust,0.683030903339386,2023-05
Portugal,Double Room,Family,1,2023,4,1.0,"Bad experience Nothing A non -friendly reception employee, it seemed like it was on an terrace. Fourth arrival without doors on windows and spoiled injust. Nothing was done to solve the problem, at the time of Chek In at 1 am ...",disgust,0.4343511760234833,2023-04
Italy,Twin Room,Family,6,2023,4,1.0,"Bad The worst place I was already, should be called Hotel Mofo !!!!
Since reception already smells unbearable !!!
Unfortunately I could not undo the reservation because I had already paid and could not cancel! 
Anyway Pessimo! Booking should not propose such a thing
I'm feeling injured!
 So much mold that I stayed with rhinitis!
For only 30 Eurod you get in a decent place.
Horrible breakfast if you like egg gemaden
And ki juice is in the right place!

!",fear,0.5623520016670227,2023-04
Portugal,Single Room,Solo traveller,1,2023,4,1.0,Terrible. This hotel is unable to be in operation You are welcome All,fear,0.917698323726654,2023-04
Portugal,Single Room,Solo traveller,1,2023,4,1.0,Nightmare Nothing The air conditioner was turned on and could not turn off. The employee said they were waiting for maintenance and could do nothing. The fucking fagot. Bad smoothness. Missed the coffee to repeat. Very bad.,sadness,0.23717056214809418,2023-04
Portugal,Single Room,Family,2,2023,4,10.0,Exceptional No highlights mentioned. Permanent noise abroad,neutral,0.6442773938179016,2023-04
United Kingdom,Twin Room,Couple,7,2023,4,3.0,Disappointed Two foncionaries Cleaning without television and without air conditioning,sadness,0.9724966287612915,2023-04
Portugal,Double Room,Family,1,2023,4,1.0,"bad nothing First there was the situation of the room is without the control of the air conditioner, we had to relocate ourselves in another, according to the room where we stayed the lamp was burned, the bathroom was all mold the ceiling, broken shower and cleaning in the bathroom was not there those things because even used soap had there.",disgust,0.8149046301841736,2023-04
Portugal,Double Room,Couple,1,2023,4,1.0,"Horrible The Floor Lunch I didn't like having to pay the room again (I paid twice 45 €) at check-in. I did not like the cleaning of the bathroom and the bedroom, a lot of moisture and the mattress had no quality.",fear,0.60292649269104,2023-04
Portugal,Twin Room,Family,2,2023,4,1.0,Misleading Nothing All. Cold. Too noise. My 8 -year -old daughter had been years ago. We spent cold at night. There was nothing of the descriptive of? Accommodation.,fear,0.5873907208442688,2023-04
Spain,Double Room,Couple,2,2023,4,3.0,"Old hotel, broken and little clean things nothing all",sadness,0.8252483010292053,2023-04
Portugal,Double Room,Couple,1,2023,4,4.0,"The quality / price seemed reasonable but some details could have been resolved easily Price and location are good. The employees were friendly enough and the breakfast was reasonable. The facilities are degraded, there was no television working when this information is explicit on the site, there was a noise throughout the night that is uncomfortable, the sheets were faces and with blemishes and there was no dryer to dry the hair.

The quality / price seemed reasonable but some details were unnecessarily bad: lack of television, noise at night, sheets and beds with little inviting air and a dryer. These are all problems that can be solved easily.

It is important to note that at the reception there was an indication of an evaluation of 8.0 that is obviously false and should be the subject of inspection.",disgust,0.7933083772659302,2023-04
Portugal,Single Room,Solo traveller,1,2023,4,4.0,Disappointing service broken shower and smell of cigarette,sadness,0.93617844581604,2023-04
Portugal,Twin Room,Group,2,2023,4,1.0,Bad Location for being close to the colleges. Zone with restaurants. Unbearable smell. BOLOR on the ceiling. Destroyed doors. Noises all night. Cold. Dirty sheets and blankets.,disgust,0.9314462542533875,2023-04
Portugal,Single Room,Solo traveller,4,2023,3,2.0,"Dirty, old, needing an urgent renewal. No highlights mentioned. Dirty, old, needing an urgent renewal.",disgust,0.8512023687362671,2023-03
Spain,Twin Room,Couple,1,2023,4,4.0,"Disappointing There were beds in the room Old beds
Old bathroom",sadness,0.8365840315818787,2023-04
Portugal,Twin Room,Family,1,2023,4,2.0,"The worst hotel where I have already had Clean bedding and yougurte cake to breakfast Nonexistent parking, noise, I still come from the bedrooms that go to the bedrooms it seems that I was sleeping next to an engine, room 203 with television without canals, dirt with dirty, starting outstand, intensely smelling bath towels, excessive moisture and outdoor moisture and census ceiling in asbestos.",disgust,0.977514386177063,2023-04
Brazil,Twin Room,Solo traveller,3,2023,4,1.0,"Do not stay in room 204, unless it is deaf or immune to constant noises (24 hours a day). Simple but satisfactory accommodation according to the price. Fourth 204, which I was assigned, had a constant engine noise on the slab or something to leave anyone crazy. It looked like an exhaustion of the bathroom because inside the bathroom the noise was even larger and to complete the warped door did not close. At night, to listen to the TV had to increase the volume a lot if it wasn't even possible to hear. I managed to sleep only one night because it was exhausted. The next day I checked. However, the hotel seemed to be full because they could not transfer me in a room. In the other rooms maybe the noise was smaller and bearable.",neutral,0.5328572988510132,2023-04
Portugal,Single Room,Solo traveller,1,2023,4,9.0,Superb The location is very good like the facilities. No issues mentioned.,joy,0.8063502907752991,2023-04
Spain,Double Room,Family,3,2023,4,3.0,"Poor A hotel where with tourists from there you can do more for the facilities The dirty hotel, stained ceilings, did not appear the air conditioning, breakfast was over very fast and when you asked for the man who cleaned the hotel without washing his hands manipulated the food in addition to bad desire.",disgust,0.9382154941558838,2023-04
Spain,Twin Room,Family,3,2023,4,10.0,"Exceptional Very good people, super friendly and everything very well. In principle we wanted the hotel to sleep alone and well, for me it was perfect. It is very close to the trains towards the center and the location is perfect. No issues mentioned.",joy,0.7486788630485535,2023-04
Turkey,Double Room,Group,1,2023,4,3.0,Poor The location is nice. Breakfast was nice. There was one socket connection to charge the phone. The other was faulty. The bathroom's door wasn't closing. It was still not bad for the price.,joy,0.41874411702156067,2023-04
Chile,Single Room,Group,3,2023,4,1.0,"Hotel in bad conditions I didn't like everything in poor condition.
Bad shower, bad doors, nothing in conditions The hotel is a disaster, all in bad conditions, bad doors, bad windows, dirty shower and in bad conditions ... lousy",disgust,0.9157869219779968,2023-04
Spain,Single Room,Group,3,2023,4,4.0,"Disappointing No highlights mentioned. A fan noise entered the room all night, all the noises of the hall was heard (when someone shook too), the TV was from the last century and with very few channels, there were damage in the rooms, the keys and locks looked like the 90s, breakfast was not included ... and the location was super far from the center, you have to move yes or yes by taxi or bus walk 7/8km ... yes, very friendly staff. The rest, disappointing.",sadness,0.5779876112937927,2023-04
Spain,Double Room,Family,2,2023,4,3.0,"Pesima Nothing. To begin with, he has neither elevator, the poor rooms of light, the bad attention, there was a leak of water in the
bathroom and did not attend it and did not change the room, the poor facilities.",disgust,0.8155199885368347,2023-04
Portugal,Double Room,Family,2,2023,3,3.0,"Poor Location TV does not work, the controls had no batteries",sadness,0.9093062281608582,2023-03
Brazil,Twin Room,Couple,6,2023,4,3.0,"Poor Location. Metro, bus all close. Restaurants, bakeries Ladder and bedroom with mold. Old building with brushstrokes to disguise",disgust,0.795576274394989,2023-04
Spain,Twin Room,Group,5,2023,4,10.0,The pillow The breakfast included The pillow was very very soft. I hardly had filling.,neutral,0.5570486187934875,2023-04
Portugal,Double Room,Couple,2,2023,3,4.0,"A ceiling to sleep on vacation. The sympathy of employees. cleaning and basic comfort. There was dust, rust, mold and malfunctioning equipment.",disgust,0.9622008800506592,2023-03
Portugal,Double Room,Group,1,2023,3,4.0,"many problems No highlights mentioned. Hotel with many problems, lack of works.",sadness,0.9157159924507141,2023-03
Portugal,Single Room,Solo traveller,4,2023,4,8.0,"Very good In general, I liked the hotel, great to spend a few days, very close to the metro station and several restaurants.
In the price ratio price I was extremely satisfied. The blind was not opened, which made light difficult in the room during the day",joy,0.9468299746513367,2023-04
Germany,Twin Room,Family,2,2023,4,1.0,"Bad Tasty breakfast, good location Dirty, the mushroom on the ceiling and the nest did not work",sadness,0.8591066598892212,2023-04
Portugal,Double Room,Family,1,2023,4,1.0,"Never to return I hated everything, not even the breakfast could take with the terrible impression we stayed.
For never again!
I don't even know how the Booking platform allows you to have the ad. Atribuíram um quarto com cobertas cheias de nódoas amarelas, paredes negras, etc quando solicitado a mudança de quarto um empregado muito simpático ainda tentou alojar-nos num quarto melhor mas logo veio o dono recusar aquele quarto pois já estava reservado para uns espanhóis. Shameful, the accommodation can be very simple but the lack of cleaning and a clean bed to sleep was the height. 
While checking on was a gentleman who should make arrangements in the place to speak very loudly and fed up with bad words. 
The worst place where I have been, never to return.
Worthy of an inspection!",disgust,0.8449411392211914,2023-04
France,Single Room,Solo traveller,1,2023,4,3.0,"Poor No highlights mentioned. Absence of towels in the room, TV without remote control, noise, in short, negative experience.",disgust,0.705273449420929,2023-04
Portugal,Double Room,Couple,2,2023,3,3.0,"could have run better air It was a short lived with breakfast, the breakfast time was from 7am until 10am and it was 9:30 am and there was almost nothing to eat. Our room was over a generator so it was always deck…",neutral,0.6432273983955383,2023-03
Brazil,Twin Room,Group,1,2023,3,8.0,Friendly employees. Easy access to the subway. I liked the price. Cold in the bedroom,joy,0.7871761322021484,2023-03
Portugal,Double Room,Couple,2,2023,3,4.0,"Disappointing Breakfast Very old and molded room, for unaccustomed people is difficult to breathe",sadness,0.9146542549133301,2023-03
Portugal,Single Room,Solo traveller,4,2023,3,10.0,Exceptional I have nothing to point No issues mentioned.,neutral,0.6748693585395813,2023-03
Portugal,Single Room,Solo traveller,1,2023,3,10.0,Exceptional Recep No issues mentioned.,neutral,0.739250898361206,2023-03
France,Single Room,Solo traveller,5,2023,3,1.0,"appalling Nothing It is a hotel does not even deserve half a star 
It’s really distressing",disgust,0.8455432057380676,2023-03
Portugal,Double Room,Couple,1,2023,3,10.0,"Experience to repeat. I loved. It was the second time I went and everything was in perfect condition, clean and once again breakfast was varied and fresh. I liked everything",joy,0.9340490102767944,2023-03
Spain,Double Room,Family,1,2023,3,3.0,"Poor No highlights mentioned. The room full of moisture, the bed only with protector without lower and dirty with hair and burned blanket ...",sadness,0.7611896395683289,2023-03
Portugal,Double Room,Group,1,2023,3,3.0,"Poor I was wrong in the marking and the hotel was available to make the change Our room had no towels, just a feet rug.
Once we were at a meeting at work we arrived late. The employee was a little slow at check-in, especially to pass invoice.",sadness,0.3667239546775818,2023-03
Spain,Double Room,Family,2,2023,3,1.0,"Horrible The truth was very disappointed, the photos you have here must be 20 years old. The dirty room, full of dust, did not work heating, broken towels, etc. I didn't like anything. The buffet with 3 -day bread and the bathroom setter is no longer manufactured. A shame.",disgust,0.8776868581771851,2023-03
Spain,Double Room,Couple,1,2023,3,4.0,"My experience That breakfast was included and that was overwhelming and well, the attentive and friendly staff. It was very far from the center of Porto, the first room had broken the blind and entered cold, they changed us to another room and the TV did not work, it has no elevator we had to climb the suitcases by stairs. In quality price relationship it seemed expensive to me.",surprise,0.6502699851989746,2023-03
Brazil,Single Room,Solo traveller,4,2023,2,4.0,Disappointing Like the people who work at the hotel I was well attended. Lack of hot shower and other things,sadness,0.9555988311767578,2023-02
Portugal,Double Room,Group,2,2023,3,1.0,"I found an authentic shame, we were not badly received but when I booked the hotel with a friend, I booked because The only positive thing I found was the fact that the hot water in the shower came fast The bathtub has dirty in the corners of the bathtub, and has no door, that is, wet the whole floor. The clothes are super thin in the meaningless bed since it is winter and we are in Porto. The window was broken, the bed is not the most comfortable.",disgust,0.8260754942893982,2023-03
Spain,Double Room,Family,3,2023,2,1.0,The House of Terror Go Everything ... The television and air controls are missing ... The bulbs are missing ... oxidized taps ... moisture in the bathroom ... dirt below the bed .... medium broken bolt ... breakfast is not the same as the photos.,sadness,0.3179203271865845,2023-02
