country,room_type,traveler_type,nr_nights,date,year,month,score,title_review_en,pos_review_en,neg_review_en
Spain,Twin Room,Family,3,June 2023,2023,June,4.0,Ancient and little attended,"Already described .. old, very unattractive .. and one day they don't make you the room .. they don't put gel or shampoo daily",The above described
Unknown,Single Room,Solo traveller,2,June 2023,2023,June,8.0,Buena,Good breakfast and also its location,It has no elevator
Portugal,Single Room,Group,1,June 2023,2023,June,4.0,Disappointing,Reasonable breakfast,Fourth and toilet amenities.
Portugal,Twin Room,Family,2,June 2023,2023,June,8.0,Very good,WONDERFUL SERVICE  Very good breakfast..SO CLEANING THAT COULD BE BETTER .. BATHINGS LEAVE TO WISH ... I went to see the bed and but proved that they did not change the sheets ...,Cleaning could be better ... bedding was not changed .... but the earlier guests slept and only stretched the sheet ...
Portugal,Single Room,Solo traveller,1,June 2023,2023,June,1.0,I will not come back.,Nothing,Noise
Ukraine,Single Room,Solo traveller,6,June 2023,2023,June,8.0,"In general, I liked everything. A good ratio of price and quality!","Good budget hotel. Everything is very clean. Especially linen. The breakfast is continental, quite diverse. Close location from the metro.",Poor sound insulation is heard the sound of the voices in the corridor and the next room.
Argentina,Double Room,Family,3,June 2023,2023,June,9.0,Superb,Practical and good value for money,All good. 2nd floor stairs
Germany,Double Room,Couple,1,June 2023,2023,June,1.0,Bad !,Only the entrance!,The rooms do not correspond to the rooms from the VEB side. Very loud noises il bad dine almost sleepless night. The entire furniture including the entrance door is in need for cleverly picking !!! The walls could tolerate a new coat of arms! In the bathroom exactly the same!
Portugal,Double Room,Family,1,June 2023,2023,June,2.0,Very poor,Service,"No glass window had only night beaded the cold through the bruises of the stock out of the place. When I arrived I saw and I didn't like I tried to cancel but I couldn't, if I didn't lose the money from the stay I ended up. But I think Bokink should have more rigor to quality when we booked a room."
Portugal,Double Room,Group,2,June 2023,2023,June,3.0,For the price it could be better,No review,The air conditioner did not work. The bedroom door looked badly. It was listened to noise in the corridors easily. Even what was going on on the first floor was heard in the second...
Portugal,Single Room,Solo traveller,2,June 2023,2023,June,1.0,Bad,I liked the location close to the Sao Joao Hospital Nearly in front of the amoei hospital,"I did not like the hotel in yes no booking had three stars in the hotel fixation has two stars, but the appearance of the smelling hotel right at the entrance to the bed with dirty monfo -smelling sheets, breakfast relay I was sorry to choose that hotel.  Please review the images they put in Booking, the next trip I will not use your services."
Spain,Double Room,Group,3,June 2023,2023,June,3.0,"I would not come back or for free, shabby not the following","Breakfast, few things; But all correct. Good coffee, good bread, good fruit. The pleasant receptionist, the unpresentable owner.","We took supplementary bed at EUR 25/night and they brought it at 23:30 and it was broken, complicated to sleep, the next day they brought another one that was broken, then we had to throw the mattresses to the ground the three nights. They wanted to discount me only EUR 7 in total, that of course I refused and in the end the mattress on the floor came to EUR 12.5/night. The bathroom of the 60s and air pipes did not close the door and creaked. The air conditioning of the rooms made a horrible noise and that of the neighbor the worst had him on the three days, yes, I really enjoy the groans that were heard. CONCLUSION The worst room we have slept in a long time ... very shabby everything."
France,Twin Room,Couple,4,June 2023,2023,June,2.0,Nul,Nothing,- Room not clean at all  - No soundproofing (noise of the VMC all night so we did not sleep) - no refund because we came 3 days instead of 4 because of a change of plane schedule)  - No change of room when we haven't slept 3 nights  - No hello   Catastrophic.
Brazil,Double Room,Couple,4,June 2023,2023,June,10.0,Exceptional,The sympathy and cordiality of employees !!,The bed and pillows very uncomfortable.
Brazil,Double Room,Family,6,May 2023,2023,May,10.0,Excellent.,"Near the metro, malls, supermarkets, fastfoods, gas station, etc... is in an excellent area in Porto. The service is great, super welcoming. Breakfast is wonderful!",No review
Brazil,Single Room,Solo traveller,3,June 2023,2023,June,1.0,bad,Educated employee and quick internet,"Broken shower, old intakes without maintenance"
Brazil,Twin Room,Couple,4,May 2023,2023,May,3.0,Poor,"From the photos, the bedroom and bathroom seem to be younger! It would be interesting a good renovation! Comfortable bed!",No review
Brazil,Single Room,Solo traveller,1,May 2023,2023,May,8.0,Very good,I liked the place nothing to say! Good hosting!,No lighting next to the bed No sockets to load the phone.
Portugal,Double Room,Family,1,May 2023,2023,May,2.0,"The cheap is expensive, it was terrible!",Nothing,"There was only one bath towel for two people, there was no face towel and carpet in the bathroom. There was no dryer, there was no rubber stopper for the bathtub, the blunders was damaged, there was no control for television and air conditioning, breakfast is not of great quality, the bathroom tile was broken, rooms very close to each other (without acoustic insulation)."
Italy,Double Room,Couple,5,May 2023,2023,May,3.0,Poor,"Very nice staff is helpful, breakfast included breakfast included in the price","The room very dirty and with very dated and ruined furnishings, very dated mattress is of very little quality (we slept very badly), the window door that gives the terrace it has a broken lock, therefore always open, also the terrace very dirty and which gives on a roof of eternity to say the least indecent, full of cigarette butts of cigarettes and varied dirt and with a fireplace that emitted an annoying buzz of an electric motor of an electric motor of an electric motor H24, the small bathroom, with mold on the ceiling and hairdryer essence (at the reception they told us that it is not there). In short, maintenance equal to zero."
Portugal,Double Room,Couple,2,May 2023,2023,May,4.0,"In addition to remodeling, employees need more training for proper care.","Cleaning and location. After complaint about room conditions, the employee was helpful trying to minimize discontent by replacing another room.","Hotel needs remodeling, room doors with low safety and aged, room without TV and air conditioning commands, broken phone. Moisture in the toilet, Estores did not close completely. Breakfast with little variety and absence of employees to replace the food and there was no coffee expressed."
Belgium,Double Room,Solo traveller,5,May 2023,2023,May,3.0,catastrophic place that does not deserve a single star,Not far from buses and trams,"The cleanliness, bathroom full of humidity, degraded toilet, broken mirror glass, smoked detector glued to sticky paper, no insulation, the balcony window is not closed"
Portugal,Single Room,Solo traveller,1,May 2023,2023,May,1.0,Degrading,Location,"Cleaning, noise of an engine all over, dirty bedding, animals on bedding, tv without command"
Portugal,Twin Room,Couple,4,May 2023,2023,May,4.0,Disappointing,The staff is well willing ...,"Cleaning, shower did not do the ""shower"" function was like taking a hose bath, lack of freshness in breakfast, a lot of damaged .... No command of TV and AC ... etc ... At night the reception is very bad Mr. that there is a long time to open the door because it is sleeping ..."
Ireland,Double Room,Couple,1,May 2023,2023,May,2.0,Very poor,No review,"Bad bathroom, take a shower and the floor turns pool, without taking off that the water did not go down the drain, and has no parking, the car is on the street"
Brazil,Single Room,Couple,2,May 2023,2023,May,4.0,Disappointing,Location,There was only one outlet working in the bedroom and was in the bathroom  There was no spare pillow to put in the room. They lent 2 pillows. I had not realized that I had no elevator at the hotel when I made the reservation.
Brazil,Double Room,Group,3,April 2023,2023,April,9.0,Very good,Great half lunch and great location.,The facilities were very old but comfortable
Spain,Double Room,Couple,2,May 2023,2023,May,1.0,I would never come back,I just liked breakfast that I consider it eighty,"The rooms are bad. The one they assigned to me had moisture on the walls, the bathrooms of the bathroom totally in sight, mold the bathtub, constant noise of an extractor, a balcony to a step of a dirty roof, the plugs did not work and a smell of ventilation cup. Request change and granted it to me. The second room only improves in moisture, pipes and views that were for the street"
Spain,Single Room,Solo traveller,1,May 2023,2023,May,4.0,Much work to do at the hotel,No review,Status and smell of the room
Brazil,Single Room,Solo traveller,5,May 2023,2023,May,10.0,Perfect,"All perfect, the employees are great already indicating to all friends.",No review
Spain,Double Room,Couple,1,May 2023,2023,May,3.0,uncomfortable room,They were friendly,"I had to ask for twice to give me towels. Moisture in the bathroom and mattress in poor condition. He did not sleep in bed and heat. In addition, the air conditioning did not work."
Portugal,Double Room,Family,1,April 2023,2023,April,1.0,Bad experience,Nothing,"A non -friendly reception employee, it seemed like it was on an terrace. Fourth arrival without doors on windows and spoiled injust. Nothing was done to solve the problem, at the time of Chek In at 1 am ..."
Italy,Twin Room,Family,6,April 2023,2023,April,1.0,Bad,"The worst place I was already, should be called Hotel Mofo !!!! Since reception already smells unbearable !!! Unfortunately I could not undo the reservation because I had already paid and could not cancel!  Anyway Pessimo!",Booking should not propose such a thing I'm feeling injured!  So much mold that I stayed with rhinitis! For only 30 Eurod you get in a decent place. Horrible breakfast if you like egg gemaden And ki juice is in the right place!  !
Portugal,Single Room,Solo traveller,1,April 2023,2023,April,1.0,Terrible. This hotel is unable to be in operation,You are welcome,All
Portugal,Single Room,Solo traveller,1,April 2023,2023,April,1.0,Nightmare,Nothing,The air conditioner was turned on and could not turn off. The employee said they were waiting for maintenance and could do nothing. The fucking fagot. Bad smoothness. Missed the coffee to repeat. Very bad.
Portugal,Single Room,Family,2,April 2023,2023,April,10.0,Exceptional,No review,Permanent noise abroad
United Kingdom,Twin Room,Couple,7,April 2023,2023,April,3.0,Disappointed,Two foncionaries,Cleaning without television and without air conditioning
Portugal,Double Room,Family,1,April 2023,2023,April,1.0,bad,nothing,"First there was the situation of the room is without the control of the air conditioner, we had to relocate ourselves in another, according to the room where we stayed the lamp was burned, the bathroom was all mold the ceiling, broken shower and cleaning in the bathroom was not there those things because even used soap had there."
Portugal,Double Room,Couple,1,April 2023,2023,April,1.0,Horrible,The Floor Lunch,"I didn't like having to pay the room again (I paid twice 45 EUR) at check-in. I did not like the cleaning of the bathroom and the bedroom, a lot of moisture and the mattress had no quality."
Portugal,Twin Room,Family,2,April 2023,2023,April,1.0,Misleading,Nothing,All. Cold. Too noise. My 8 -year -old daughter had been years ago. We spent cold at night. There was nothing of the descriptive of? Accommodation.
Spain,Double Room,Couple,2,April 2023,2023,April,3.0,"Old hotel, broken and little clean things",nothing,all
Portugal,Double Room,Couple,1,April 2023,2023,April,4.0,The quality / price seemed reasonable but some details could have been resolved easily,Price and location are good. The employees were friendly enough and the breakfast was reasonable.,"The facilities are degraded, there was no television working when this information is explicit on the site, there was a noise throughout the night that is uncomfortable, the sheets were faces and with blemishes and there was no dryer to dry the hair.  The quality / price seemed reasonable but some details were unnecessarily bad: lack of television, noise at night, sheets and beds with little inviting air and a dryer. These are all problems that can be solved easily.  It is important to note that at the reception there was an indication of an evaluation of 8.0 that is obviously false and should be the subject of inspection."
Portugal,Single Room,Solo traveller,1,April 2023,2023,April,4.0,Disappointing,service,broken shower and smell of cigarette
Portugal,Twin Room,Group,2,April 2023,2023,April,1.0,Bad,Location for being close to the colleges. Zone with restaurants.,Unbearable smell. BOLOR on the ceiling. Destroyed doors. Noises all night. Cold. Dirty sheets and blankets.
Portugal,Single Room,Solo traveller,4,March 2023,2023,March,2.0,"Dirty, old, needing an urgent renewal.",No review,"Dirty, old, needing an urgent renewal."
Spain,Twin Room,Couple,1,April 2023,2023,April,4.0,Disappointing,There were beds in the room,Old beds Old bathroom
Portugal,Twin Room,Family,1,April 2023,2023,April,2.0,The worst hotel where I have already had,Clean bedding and yougurte cake to breakfast,"Nonexistent parking, noise, I still come from the bedrooms that go to the bedrooms it seems that I was sleeping next to an engine, room 203 with television without canals, dirt with dirty, starting outstand, intensely smelling bath towels, excessive moisture and outdoor moisture and census ceiling in asbestos."
Brazil,Twin Room,Solo traveller,3,April 2023,2023,April,1.0,"Do not stay in room 204, unless it is deaf or immune to constant noises (24 hours a day).",Simple but satisfactory accommodation according to the price.,"Fourth 204, which I was assigned, had a constant engine noise on the slab or something to leave anyone crazy. It looked like an exhaustion of the bathroom because inside the bathroom the noise was even larger and to complete the warped door did not close. At night, to listen to the TV had to increase the volume a lot if it wasn't even possible to hear. I managed to sleep only one night because it was exhausted. The next day I checked. However, the hotel seemed to be full because they could not transfer me in a room. In the other rooms maybe the noise was smaller and bearable."
Portugal,Single Room,Solo traveller,1,April 2023,2023,April,9.0,Superb,The location is very good like the facilities.,No review
Spain,Double Room,Family,3,April 2023,2023,April,3.0,Poor,A hotel where with tourists from there you can do more for the facilities,"The dirty hotel, stained ceilings, did not appear the air conditioning, breakfast was over very fast and when you asked for the man who cleaned the hotel without washing his hands manipulated the food in addition to bad desire."
Spain,Twin Room,Family,3,April 2023,2023,April,10.0,Exceptional,"Very good people, super friendly and everything very well. In principle we wanted the hotel to sleep alone and well, for me it was perfect. It is very close to the trains towards the center and the location is perfect.",No review
Turkey,Double Room,Group,1,April 2023,2023,April,3.0,Poor,The location is nice. Breakfast was nice.,There was one socket connection to charge the phone. The other was faulty. The bathroom's door wasn't closing. It was still not bad for the price.
Chile,Single Room,Group,3,April 2023,2023,April,1.0,Hotel in bad conditions,"I didn't like everything in poor condition. Bad shower, bad doors, nothing in conditions","The hotel is a disaster, all in bad conditions, bad doors, bad windows, dirty shower and in bad conditions ... lousy"
Spain,Single Room,Group,3,April 2023,2023,April,4.0,Disappointing,No review,"A fan noise entered the room all night, all the noises of the hall was heard (when someone shook too), the TV was from the last century and with very few channels, there were damage in the rooms, the keys and locks looked like the 90s, breakfast was not included ... and the location was super far from the center, you have to move yes or yes by taxi or bus walk 7/8km ... yes, very friendly staff. The rest, disappointing."
Spain,Double Room,Family,2,April 2023,2023,April,3.0,Pesima,Nothing.,"To begin with, he has neither elevator, the poor rooms of light, the bad attention, there was a leak of water in the bathroom and did not attend it and did not change the room, the poor facilities."
Portugal,Double Room,Family,2,March 2023,2023,March,3.0,Poor,Location,"TV does not work, the controls had no batteries"
Brazil,Twin Room,Couple,6,April 2023,2023,April,3.0,Poor,"Location. Metro, bus all close. Restaurants, bakeries",Ladder and bedroom with mold. Old building with brushstrokes to disguise
Spain,Twin Room,Group,5,April 2023,2023,April,10.0,The pillow,The breakfast included,The pillow was very very soft. I hardly had filling.
Portugal,Double Room,Couple,2,March 2023,2023,March,4.0,A ceiling to sleep on vacation.,The sympathy of employees.,"cleaning and basic comfort. There was dust, rust, mold and malfunctioning equipment."
Portugal,Double Room,Group,1,March 2023,2023,March,4.0,many problems,No review,"Hotel with many problems, lack of works."
Portugal,Single Room,Solo traveller,4,April 2023,2023,April,8.0,Very good,"In general, I liked the hotel, great to spend a few days, very close to the metro station and several restaurants. In the price ratio price I was extremely satisfied.","The blind was not opened, which made light difficult in the room during the day"
Germany,Twin Room,Family,2,April 2023,2023,April,1.0,Bad,"Tasty breakfast, good location","Dirty, the mushroom on the ceiling and the nest did not work"
Portugal,Double Room,Family,1,April 2023,2023,April,1.0,Never to return,"I hated everything, not even the breakfast could take with the terrible impression we stayed. For never again! I don't even know how the Booking platform allows you to have the ad.","Atribuiram um quarto com cobertas cheias de nodoas amarelas, paredes negras, etc quando solicitado a mudanca de quarto um empregado muito simpatico ainda tentou alojar-nos num quarto melhor mas logo veio o dono recusar aquele quarto pois ja estava reservado para uns espanhois. Shameful, the accommodation can be very simple but the lack of cleaning and a clean bed to sleep was the height.  While checking on was a gentleman who should make arrangements in the place to speak very loudly and fed up with bad words.  The worst place where I have been, never to return. Worthy of an inspection!"
France,Single Room,Solo traveller,1,April 2023,2023,April,3.0,Poor,No review,"Absence of towels in the room, TV without remote control, noise, in short, negative experience."
Portugal,Double Room,Couple,2,March 2023,2023,March,3.0,could have run better,air,"It was a short lived with breakfast, the breakfast time was from 7am until 10am and it was 9:30 am and there was almost nothing to eat. Our room was over a generator so it was always deck..."
Brazil,Twin Room,Group,1,March 2023,2023,March,8.0,Friendly employees. Easy access to the subway.,I liked the price.,Cold in the bedroom
Portugal,Double Room,Couple,2,March 2023,2023,March,4.0,Disappointing,Breakfast,"Very old and molded room, for unaccustomed people is difficult to breathe"
Portugal,Single Room,Solo traveller,4,March 2023,2023,March,10.0,Exceptional,I have nothing to point,No review
Portugal,Single Room,Solo traveller,1,March 2023,2023,March,10.0,Exceptional,Recep,No review
France,Single Room,Solo traveller,5,March 2023,2023,March,1.0,appalling,Nothing,It is a hotel does not even deserve half a star  It's really distressing
Portugal,Double Room,Couple,1,March 2023,2023,March,10.0,Experience to repeat.,"I loved. It was the second time I went and everything was in perfect condition, clean and once again breakfast was varied and fresh.",I liked everything
Spain,Double Room,Family,1,March 2023,2023,March,3.0,Poor,No review,"The room full of moisture, the bed only with protector without lower and dirty with hair and burned blanket ..."
Portugal,Double Room,Group,1,March 2023,2023,March,3.0,Poor,I was wrong in the marking and the hotel was available to make the change,"Our room had no towels, just a feet rug. Once we were at a meeting at work we arrived late. The employee was a little slow at check-in, especially to pass invoice."
Spain,Double Room,Family,2,March 2023,2023,March,1.0,Horrible,"The truth was very disappointed, the photos you have here must be 20 years old. The dirty room, full of dust, did not work heating, broken towels, etc.",I didn't like anything. The buffet with 3 -day bread and the bathroom setter is no longer manufactured. A shame.
Spain,Double Room,Couple,1,March 2023,2023,March,4.0,My experience,"That breakfast was included and that was overwhelming and well, the attentive and friendly staff.","It was very far from the center of Porto, the first room had broken the blind and entered cold, they changed us to another room and the TV did not work, it has no elevator we had to climb the suitcases by stairs. In quality price relationship it seemed expensive to me."
Brazil,Single Room,Solo traveller,4,February 2023,2023,February,4.0,Disappointing,Like the people who work at the hotel I was well attended.,Lack of hot shower and other things
Portugal,Double Room,Group,2,March 2023,2023,March,1.0,"I found an authentic shame, we were not badly received but when I booked the hotel with a friend, I booked because",The only positive thing I found was the fact that the hot water in the shower came fast,"The bathtub has dirty in the corners of the bathtub, and has no door, that is, wet the whole floor. The clothes are super thin in the meaningless bed since it is winter and we are in Porto. The window was broken, the bed is not the most comfortable."
Spain,Double Room,Family,3,February 2023,2023,February,1.0,The House of Terror,Go,Everything ... The television and air controls are missing ... The bulbs are missing ... oxidized taps ... moisture in the bathroom ... dirt below the bed .... medium broken bolt ... breakfast is not the same as the photos.
Chile,Single Room,Solo traveller,3,February 2023,2023,February,2.0,A very bad hotel,Nothing,"I had a strong smell of chlorine when I entered, the bathroom was bad, the bed was without phrase and although there is air conditioning, they do not facilitate the remote control to occupy it, so it is very cold. The bathroom tub is small, the doors are old and sound and is badly soundless, you have to leave the keys to do toilet (which do not warn), and it shows that the staff does not like to work there .."
Spain,Double Room,Family,1,February 2023,2023,February,1.0,Bad,No review,"Breakfast is not consistent with the price, he left much to be desired"
Portugal,Double Room,Couple,2,February 2023,2023,February,1.0,It looks like a prison.,nothing,all
Spain,Double Room,Family,1,February 2023,2023,February,1.0,Bad,Nothing,The Fatal Super Antigua Hotel  Breakfast only bread when we went down to breakfast there was nothing  We ordered water to buy and there was no I didn't command either
Portugal,Double Room,Couple,1,December 2022,2022,December,3.0,,No review,No review
Portugal,Twin Room,Couple,3,February 2023,2023,February,1.0,I prefer to sleep in the car.,Only employee education.,"All. The bathroom smells bad and the ventilation duct makes so much noise that it looked like a washing machine inside the room. Not to mention that breakfast is really small, about a bread per person ."
Portugal,Double Room,Couple,1,February 2023,2023,February,1.0,Terrible and I don't even recommend it to my worst enemy.,I didn't like anything.,"All. Poor service, incompetent and handy and disrespectful employees. They said badly the breakfast time and when we arrived there was nothing to eat anymore. The room had little conditions and the bathroom was in poor condition."
Argentina,Double Room,Couple,2,February 2023,2023,February,2.0,"I would have preferred to pay a little more, for another option.",Attention and location.  Breakfast.,"The shower did not stay still, impossible to bathe. The room had tobacco smell. The WC left its place."
Portugal,Double Room,Family,1,February 2023,2023,February,1.0,Bad,To leave,Of the end
Belarus,Double Room,Family,1,February 2023,2023,February,3.0,Poor,Nothing,"There was no hot water. In the evening it was warm, in the morning it was not at all. The cost was so -so. A lot of rolls, cheese, ham, cocoa, coffee, tea. There is no hairdryer in the room, but I asked the administrator, they gave a hair dryer."
France,Single Room,Solo traveller,3,February 2023,2023,February,8.0,Very good,No review,He missed hot water for 2 days ... in winter it's complicated
Portugal,Single Room,Solo traveller,1,February 2023,2023,February,1.0,Bad,Location near the place where I would have to move to work.,"Unlike the information registered on the platform, the hotel offers no minimum basic services: the room had no air conditioning system, nor hot water for baths. Cleaning is poor and unprofessional service. The paper complaints book was requested, which was not made available. The receptionist could not find him. Unfortunate (and infringing what the Portuguese law provides)."
Brazil,Single Room,Solo traveller,1,February 2023,2023,February,1.0,Bad experience! I do not recommend,"price. However, it did not compensate for paying less.",There was no hot water in the hotel !!! The bathroom duch support was broken. Impossible to bathe in this hotel!
Portugal,Double Room,Family,1,January 2023,2023,January,4.0,Disappointing,Location,"The air conditioner did not work, the lamps of the lamps were cast, at night I heard all the intimate noise of the next room."
Spain,Double Room,Family,1,January 2023,2023,January,1.0,Bad,I was able to cancel at the hotel the night because the room was not right.,The state of the room
Spain,Double Room,Family,3,January 2023,2023,January,2.0,A disaster,That was close to the subway,How dirty the bathroom and room was
Spain,Twin Room,Group,1,December 2022,2022,December,1.0,"Fatality, the worst accommodation I have been able to be.",no,disastrous cleaning Bad smell. We had to ask for reimbursement.
Spain,Twin Room,Couple,4,November 2022,2022,November,8.0,Very good!,Excellent treatment very professional! 5 minutes from the subway,Maybe the facilities are not the new ones but it is very good
Spain,Double Room,Family,1,December 2022,2022,December,2.0,A site to never return,No review,"It was cold in the room, the room with the cradle became small, the room of the room did not close well so the air entered, the cleaning left much to be desired, the disastrous breakfast and if it were not because it is paid before seeing these conditions we torn ourselves"
Portugal,Double Room,Couple,1,December 2022,2022,December,1.0,Shameful,Nothing,"Without air conditioning and the photos did not correspond to reality. Went to check in and then go down to ask for the return of the money. Amazing how you can advertise so misleading. We saw a group of people who had arrived before us and who were in the bedroom next to the skewed look around, initially we didn't understand, then when we came back we saw the same group asking for the return of the money they had paid for the stay and leaving."
Portugal,Twin Room,Solo traveller,2,November 2022,2022,November,2.0,Bad,No review,"The room had mold on the ceiling, I was disgusted with the bathroom, I was unable to bathe, the bed had hair, I didn't have the courage to face the pillow I had to put a nightgown over, the staff were strange, one looked drugged and laughed if it was in another world already with an age was talking to a ""friend"" at the reception to say blunders. Breakfast was terrible, there was no bread, cheese, ham, nothing ... it's a misery.  Not to mention that the bathroom had a lamp because there was no light."
Spain,Double Room,Couple,2,December 2022,2022,December,2.0,I would look for another option for EUR 20 safer that you find something better,"It is located near the Metro station that connects with the center of Porto, options to eat nearby and you can leave the car out of the White Hotel","Very deteriorated facilities, the bathroom was not neat, it had a dropper and moisture, very dirty in general very old and old everything"
Portugal,Double Room,Family,1,December 2022,2022,December,3.0,Poor,No review,"Terrible room, noise"
Portugal,Twin Room,Couple,1,December 2022,2022,December,1.0,poor,I don't feel good,"When we first checked in, our front desk was very friendly. After checking in, the room was very cold but the air conditioning was broken. We went to the front desk to negotiate if we could change rooms, but after changing someone at the front desk, we were very unfriendly. He didn't even check if there were any available rooms, and told us that the rooms were full. We were frozen all night without any accident. The interior facilities of the room are very old and the roof has cracked and painted, which is completely inconsistent with the picture. The room is not soundproofed! There were other people's hair on the bed, and the quilt was yellow when it was lifted. I had to wonder if I had changed the bed cover. This is the worst hotel I've ever booked on booking, it's not a hotel at all!"
Brazil,Twin Room,Family,18,September 2022,2022,September,10.0,Left a lot,"I was with my uncle, an 83 -year -old man for 20 days at the Portinari Hotel. During this time, we went for a walk and visit relatives in the morning, we came back in the afternoon. The hotel staff always requested, guided us how to get to the main sights. We love this stay at Portinari, it was all wonderful... from the cleanliness, education and kindness of all and especially breakfast, always perfect, the best coffee in Portugal !!! We left a very tight hug to all the employees and thank you all for the affection with which we were received and treated.",From ter that say goodbye to everyone.
Spain,Twin Room,Family,2,October 2022,2022,October,8.0,Very good,"The best good communication with all kinds of transport, the kindness of staff and breakfast. Comfortable beds and the docks a little old but everything was perfect. A great couple getaway.",No review
Portugal,Double Room,Couple,2,November 2022,2022,November,4.0,horrible.,"I didn't have a good ""hotel"" experience, soon there is nothing I liked in it.","Unfortunately I didn't like anything, there was everything that happens in the broker is even in the rooms there is a great transparency, there is no conditions, bathrooms with mold, the bed, corners of the bedroom dirty in the winter had summer sheets, super thin quilt, marades of poorly educated cleaning, windows and blinds of the room, mirror of the broken bathroom, never back there."
Finland,Single Room,Group,4,November 2022,2022,November,4.0,"2 star hotel, not wonderful",location was close to the school we visited,The beds were quite hard and the rooms were old. The air conditioning worked poorly and there were not many options for breakfast
Portugal,Double Room,Family,4,November 2022,2022,November,3.0,If it weren't for the unbearable deck of ventilation in the rooms.,"There was no shortage of hot water, there were towels, the feedback was not bad at all.",Asbestos tile next to the window. A lot of noise in the rooms due to the ventilation of the cabin. Badly clean breakfast zone. Doors close badly. Pipering Sanita makes a lot of noise. Shower curtain with bulir. Few sockets in the room
Portugal,Double Room,Family,1,October 2022,2022,October,4.0,Disappointing,No review,"Disappointing breakfast, there was no fruit and the bad coffee strained"
Portugal,Twin Room,Group,2,October 2022,2022,October,1.0,horrible bad,location,Poor conditions infiltrations on the ceiling dripping the sheets had yellow apples and by not seemed to have exchanged and cutlery used in the room the bathroom had a horrible smell and the service seemed that it had consumed some genre of substance because what they said were meaningless
France,Double Room,Couple,3,October 2022,2022,October,4.0,Hotel to avoid preferably,No review,Room on the second floor VMC above the chamber ventilation noise all night.
United Kingdom,Double Room,Family,1,October 2022,2022,October,2.0,Very poor,No review,There was no bread for breakfast ...... Little information came ....
Portugal,Double Room,Couple,2,October 2022,2022,October,9.0,Superb,bom,absence of elevator
Portugal,Double Room,Couple,2,October 2022,2022,October,4.0,Better than on the street,No review,"Little welcoming employees  Bathtub with pubic hair  weak breakfast, does not pay money"
Portugal,Double Room,Couple,1,October 2022,2022,October,4.2,Disappointing,No review,"Unfortunately, the hotel's stay did not materialize ... On the day of Check In, in full receipt, we were informed that our reserve had been transferred to the Hotel Quasar about 1.5 km there on the grounds of exhaustion of reserves. Transfer this allegedly carried by Booking.  I came to know that after all Booking does not deal with this kind of situations, as it already suspected, because it had not been notified and that when these situations, management is done by the hotel itself. Proven by this evaluation request.  This time, I do not intend to be a client/guest of that establishment for their lack of ethics to me and the person who accompanied me!  Without anything else to add ..."
France,Double Room,Group,2,October 2022,2022,October,4.0,Disappointing,No review,Bathroom. Television
Morocco,Twin Room,Group,1,October 2022,2022,October,10.0,Exceptional,Very correct value for money,Nothing
Brazil,Double Room,Couple,2,October 2022,2022,October,4.0,must have another better for this price,shower,There is no parking lot  bathroom door didn't close Balcony door did not locate  Breakfast employee in a bad mood
Brazil,Double Room,Couple,1,October 2022,2022,October,1.0,The worst hosting of my life so far.,There is nothing to comment positive.,"Here I allow myself to break protocol, instead of exposing facts that anchor my opinion, just illustrate feeling. Looking at life with a chest of memories of vivid feelings and experiences, I will keep our accommodation in my chest. May God grant me the privilege of living at least up to 80 years and lucidity of recovering the experience of the container. I had no high expectation, as I just stayed overnight with my husband ... however, the hotel overcame all my expectations and accommodation experiences. I'm Lucilene, I'm 40 years old, I remember relatively accurately from my travels and lodging since my childhood and I can say accurately: this was the worst accommodation experience I've lived so far. From checkin to bedroom and bathroom, breakfast service. And if this warning was not enough for you, then this experience needs to be in your chest too."
Portugal,Twin Room,Family,2,October 2022,2022,October,3.0,Poor,"We don't like anything. Small rooms, bad care and without maintenance. Falling paint from ceilings and walls. TV 18th TV 18. Employees little or nothing friendly and available. Lack of face and shampoo towels and bath gel. The Peq. Sunday lunch was a chaos. At the time of the beginning 7.30 of the same there was nothing. Neither milk nor hot coffee. It was heated in the microwave.  No ham or cheese or simple butter. He was beginning to do after 7.50 and with an unusual dysplicence. The bread was taken with the hands without using a glove or tweezers for the respective receivers. I am mistaken with advertising made to this hotel. I know hotels for animals with much more quality. This space should be removed from Booking. And more I feel the right to be recended from the money I paid because I feel wrong. From here I go to Asae to express my discontent.",Hotel bad and bad bad bad.p
Turkey,Double Room,Family,5,October 2022,2022,October,1.0,Bad,No review,Hotel track and possibilities were limited. There was a cocek and we're itching everywhere.
Brazil,Double Room,Couple,2,October 2022,2022,October,4.0,Disappointing,Only location and great employee service,horrible
Brazil,Twin Room,Solo traveller,5,September 2022,2022,September,10.0,Exceptional,"Location, breakfast and service.",No criticism.
Lithuania,Double Room,Family,1,October 2022,2022,October,4.0,Disappointing,Near the subway,"Old hotel, unpleasant odor, does not fully match the photo Booking, poor pillows and bed"
France,Twin Room,Family,1,October 2022,2022,October,8.0,Very good,Correct value for money,"Far from the center, you need the car"
